,code,airport_name,city,state
3842,NKS, Nkongsamba Airport,Nkongsamba, Cameroon
3843,NKT, Serafettin Elci,Sirnak, Turkey
3844,NKV, Nichin Cove Seaplane Base,Nichen Cove, AK
3845,NKW, Diego Garcia Nsf,Diego Garcia, British Indian Ocean Territory
3846,NKX, Miramar MCAS,San Diego, CA
3847,NL1, Fogo Airport,Fogo, Canada
3848,NLA, Ndola Airport,Ndola, Zambia
3849,NLC, Lemoore NAS,Lemoore, CA
3850,NLD, Quetzalcoatl International,Nuevo Laredo, Mexico
3851,NLG, Nelson Lagoon Airport,Nelson Lagoon, AK
3852,NLK, Norfolk Island Airport,Norfolk Island, Australia
3853,NLO, N'Dolo,Kinshasa, Congo (Kinshasa)
3854,NLP, Nelspruit Airport,Nelspruit, South Africa
3855,NLS, Nicholson Station,Nicholson, Australia
3856,NM1, Belen Municipal,Belen, NM
3857,NMC, Norman's Cay Airport,Norman's Cay, The Bahamas
3858,NME, Nightmute Airport,Nightmute, AK
3859,NMG, San Miguel Airport,San Miguel, Panama
3860,NNA, Kenitra Airport,Kenitra, Morocco
3861,NNG, Wuxu,Nanning, China
3862,NNK, Naknek Airport,Naknek, AK
3863,NNL, Nondalton Airport,Nondalton, AK
3864,NNU, Nanuque Airport,Nanuque, Brazil
3865,NNY, Nanyang East,Nanyang, China
3866,NOA, Nowra Airport,Nowra, Australia
3867,NOC, Ireland West Airport Knock,Connaught, Ireland
3868,NOG, Nogales International,Nogales, Mexico
3869,NON, Nonouti Airport,Nonouti, Kiribati
3870,NOP, Nab,Mactan Island, Philippines
3871,NOR, Nordfjordur Airport,Nordfjordur, Iceland
3872,NOS, Fascene,Nossi-Be, Madagascar
3873,NOT, Gnoss Field,Novato, CA
3874,NOU, Noumea La Tontouta,Noumea, New Caledonia
3875,NOV, Huambo Airport,Huambo, Angola
3876,NPA, Pensacola NAS,Pensacola, FL
3877,NPE, Napier Airport,Napier, New Zealand
3878,NPL, New Plymouth Airport,New Plymouth, New Zealand
3879,NPT, Newport State,Newport, RI
3880,NQA, Millington Regional Jetport,Millington, TN
3881,NQI, Kingsville NAS,Kingsville, TX
3882,NQN, Presidente Peron,Neuquen, Argentina
3883,NQX, Key West NAS,Key West, FL
3884,NQY, Newquay Airport,Newquay, United Kingdom
3885,NRA, Narrandera Airport,Narrandera, Australia
3886,NRB, Mayport NS,Mayport, FL
3887,NRI, Grand Lake Regional,Afton, OK
3888,NRK, Kungsangen,Norrkoping, Sweden
3889,NRL, North Ronaldsay Airport,North Ronaldsay, United Kingdom
3890,NRR, Roosevelt Roads NAS,Ceiba, PR
3891,NRT, Narita International,Tokyo, Japan
3892,NSA, Noosa Aust.,Noosa, Australia
3893,NSB, North Seaplane Base,Bimini, The Bahamas
3894,NSE, Whiting Field NAS North,Milton, FL
3895,NSF, Joint Base Andrews,Camp Springs, MD
3896,NSI, Yaounde Nsimalen,Yaounde, Cameroon
3897,NSL, NASA Shuttle Landing Facility,Merritt Island, FL
3898,NSN, Nelson Airport,Nelson, New Zealand
3899,NSO, Scone Airport,Scone, Australia
3900,NST, Nakhon Si Thammarat Airport,Nakhon Si Thammarat, Thailand
3901,NSY, Sigonella Airport,Sigonella, Italy
3902,NT1, Snap Lake Mine/Debeers,Snap Lake, Canada
3903,NT2, Colomac Airport,Colomac, Canada
3904,NT3, Gahcho Kue,Gahcho, Canada
3905,NTD, Point Mugu NAS,Port Hueneme, CA
3906,NTE, Nantes Atlantique,Nantes, France
3907,NTL, Williamtown,Newcastle, Australia
3908,NTN, Normanton Airport,Normanton, Australia
3909,NTO, Santo Antao Airport,Santo Antao, Cape Verde
3910,NTQ, Noto,Wajima, Japan
3911,NTR, Del Norte International,Monterrey, Mexico
3912,NTU, Oceana NAS,Oceana, VA
3913,NTY, Pilanesberg International,Sun City, South Africa
3914,NU1, Doris Lake Airport,Doris Lake, Canada
3915,NU2, Hope Bay Airport,Hope Bay, Canada
3916,NU3, Jericho Mine,Jericho, Canada
3917,NU4, Meadowbank,Meadowbank Nunavut, Canada
3918,NU5, Goose Lake Airport,Goose Lake, Canada
3919,NU6, Seaice15,Seaice, Canada
3920,NUE, Nuernberg,Nuremberg, Germany
3921,NUG, Nuguria Airport,Nuguria, Papua New Guinea
3922,NUI, Nuiqsut Airport,Nuiqsut, AK
3923,NUL, Nulato Airport,Nulato, AK
